keyword,avg_monthly_searches,three_month_change,yoy_change,competition,top_bid_low_krw,top_bid_high_krw,target,period
abandoned oil tank records,—,—,—,—,—,—,United States,2025-07 to 2026-06
buried oil tank inspection,10-100,0%,0%,Medium,—,—,United States,2025-07 to 2026-06
buried oil tank records,—,—,—,—,—,—,United States,2025-07 to 2026-06
buried oil tank removal,10-100,0%,0%,Low,3111,10218,United States,2025-07 to 2026-06
buried oil tank removal cost,10-100,0%,0%,Medium,2557,10696,United States,2025-07 to 2026-06
buying house with buried oil tank,—,—,—,—,—,—,United States,2025-07 to 2026-06
is oil tank leak covered by insurance,10-100,0%,0%,Low,—,—,United States,2025-07 to 2026-06
oil tank abandonment,100-1000,0%,-90%,Medium,5598,14915,United States,2025-07 to 2026-06
oil tank abandonment cost,10-100,0%,0%,Medium,5563,23135,United States,2025-07 to 2026-06
oil tank leak cleanup,10-100,0%,0%,Low,—,—,United States,2025-07 to 2026-06
oil tank leak cleanup cost,10-100,0%,0%,Low,—,—,United States,2025-07 to 2026-06
oil tank remediation,10-100,0%,0%,Medium,5787,36078,United States,2025-07 to 2026-06
oil tank remediation cost,10-100,0%,0%,Low,—,—,United States,2025-07 to 2026-06
oil tank removal,1000-10000,0%,0%,High,5556,29136,United States,2025-07 to 2026-06
oil tank removal cost,100-1000,0%,0%,Low,3690,17317,United States,2025-07 to 2026-06
oil tank removal ct,10-100,0%,0%,High,3429,12468,United States,2025-07 to 2026-06
oil tank removal massachusetts,10-100,0%,0%,Medium,4552,14713,United States,2025-07 to 2026-06
oil tank removal new york,10-100,0%,0%,High,4199,12310,United States,2025-07 to 2026-06
oil tank removal nj,100-1000,0%,0%,High,6797,34057,United States,2025-07 to 2026-06
oil tank sweep,100-1000,0%,0%,Medium,6969,21383,United States,2025-07 to 2026-06
oil tank sweep cost,100-1000,-90%,-90%,Low,2706,14332,United States,2025-07 to 2026-06
oil tank sweep near me,10-100,0%,0%,High,5855,17398,United States,2025-07 to 2026-06
oil tank sweep nj,100-1000,0%,0%,Medium,6969,21383,United States,2025-07 to 2026-06
remove or abandon oil tank,—,—,—,—,—,—,United States,2025-07 to 2026-06
selling house with buried oil tank,—,—,—,—,—,—,United States,2025-07 to 2026-06
underground oil tank inspection,100-1000,0%,0%,Low,4957,17069,United States,2025-07 to 2026-06
underground oil tank removal,100-1000,0%,0%,Low,4647,17952,United States,2025-07 to 2026-06
underground oil tank removal cost,100-1000,0%,0%,Low,3396,11458,United States,2025-07 to 2026-06
underground oil tank removal nj,10-100,0%,0%,Low,—,—,United States,2025-07 to 2026-06
