state,state_fips,occupied_housing_units,fuel_oil_households,fuel_oil_share_pct,housing_units,pre_1980_units,pre_1980_share_pct,fuel_oil_household_rank
New York,36,7828074,1143783,14.61,8676911,6347574,73.15,1
Pennsylvania,42,5361724,685083,12.78,5861320,3885241,66.29,2
Massachusetts,25,2829804,572376,20.23,3057853,2024578,66.21,3
Connecticut,09,1455235,509593,35.02,1554057,1045595,67.28,4
Maine,23,615235,309159,50.25,764713,401678,52.53,5
New Hampshire,33,570689,211416,37.05,657198,332589,50.61,6
New Jersey,34,3543944,198050,5.59,3816432,2329832,61.05,7
Maryland,24,2401394,140292,5.84,2588337,1304693,50.41,8
Rhode Island,44,448318,113718,25.37,488011,337192,69.1,9
Vermont,50,285548,101281,35.47,343166,188392,54.9,10
Virginia,51,3449307,94685,2.75,3746211,1586577,42.35,11
Alaska,02,274045,75381,27.51,329757,121049,36.71,12
Ohio,39,4929322,74397,1.51,5336168,3307668,61.99,13
North Carolina,37,4496359,71202,1.58,5073509,1646727,32.46,14
Michigan,26,4131281,31780,0.77,4669109,2866185,61.39,15
California,06,13797638,31733,0.23,14877017,8153820,54.81,16
Wisconsin,55,2535198,29072,1.15,2820538,1563207,55.42,17
Washington,53,3168080,28968,0.91,3400980,1412930,41.54,18
Minnesota,27,2363442,28342,1.2,2597229,1333442,51.34,19
Delaware,10,412304,27950,6.78,476415,194797,40.89,20
Oregon,41,1744270,21132,1.21,1896851,910185,47.98,21
Florida,12,9141675,19198,0.21,10629845,3406698,32.05,22
West Virginia,54,740840,13191,1.78,866433,473381,54.64,23
Kentucky,21,1865456,11903,0.64,2051004,944997,46.07,24
Texas,48,11449769,11826,0.1,12616736,3931431,31.16,25
Indiana,18,2775637,10796,0.39,3026101,1614291,53.35,26
South Carolina,45,2222890,8607,0.39,2531310,806646,31.87,27
Tennessee,47,2928765,7309,0.25,3243954,1262991,38.93,28
Georgia,13,4220732,6889,0.16,4668796,1415857,30.33,29
North Dakota,38,349705,6836,1.95,380994,170036,44.63,30
Idaho,16,751181,6592,0.88,832052,302581,36.37,31
Illinois,17,5105448,6543,0.13,5482133,3410687,62.21,32
Colorado,08,2479892,4758,0.19,2662111,1005736,37.78,33
Iowa,19,1343422,4069,0.3,1458471,868540,59.55,34
Nevada,32,1238925,3977,0.32,1365893,283180,20.73,35
Arizona,04,2982475,3845,0.13,3299178,921033,27.92,36
Missouri,29,2563244,3818,0.15,2858527,1493514,52.25,37
South Dakota,46,382302,3555,0.93,423705,198067,46.75,38
Oklahoma,40,1603748,3020,0.19,1800427,854327,47.45,39
Montana,30,468981,2759,0.59,539622,255912,47.42,40
District of Columbia,11,329687,2569,0.78,368700,244423,66.29,41
Alabama,01,2059528,2539,0.12,2381771,977672,41.05,42
Nebraska,31,824012,2401,0.29,880521,491576,55.83,43
Kansas,20,1204374,2003,0.17,1310001,717533,54.77,44
Utah,49,1184428,1579,0.13,1283206,424607,33.09,45
Arkansas,05,1246754,1487,0.12,1421029,539558,37.97,46
Louisiana,22,1848965,1063,0.06,2138882,972897,45.49,47
Mississippi,28,1176690,803,0.07,1359223,544370,40.05,48
New Mexico,35,856970,752,0.09,973944,404844,41.57,49
Hawaii,15,493151,609,0.12,572824,279811,48.85,50
Wyoming,56,256289,146,0.06,281789,133940,47.53,51
